Marketing Manager;Send Invitations to Customers
System Communication;Store in Marketing System Client 200
Client;Show Reservation
Firm;Submit Offer
Sales Representative;Request Pack Goods
Trouble Ticket System;Close ticket
Marketing Manager;Register Participant
Aqua Distilled Water Company;Create Customer Account
2nd Level Support Agent;Note 2nd level result
2nd Level Support Agent;Handle 2nd Level Issue
Car House;Get Client Information
Support Department;Review & Escalate
Support Department;Update Case Status
Firm;Collect Feedback
Business participant;Receive Vote
delivery boy;Deliver the pizza
Seminar Coordinator;Close Seminar
Business participant;Send Invoice to Customer
Pizza Customer;Pay the pizza
Clerk;Request quotes from carriers
clerk;Calm customer
Business participant;Inform Customer about Overdue Payment
Online Shop;Request Pack Goods
1st level support;Open ticket
Developer;Notify user
Sales staff;Send an offer to the client
Trouble Ticket System;Edit 1st Level Ticket
Sales staff;Fullfil the order
Reader;Use Item
Car House;Submit Car Reservation
Expert;Send Candidates Assessment Report
Customer Service Assistant;Verify Customer Identity
delivery boy;Receive payment
Online Shop;Pack Goods
Business participant;Announce Issues
Support Manager;Update Client on Delay &Escl.
